apk_filename,package_name,version_name,apk_sha256,source,origin_dataset,scenario,case_id,label,label_source,origin_label,note,split
1febb8f4be4e7225a222a1d1af13d303f5fe0f061eda8aa4d39f5325e6e6c537.apk,ru.kidcontrol.gpstracker,2.7.0,1febb8f4be4e7225a222a1d1af13d303f5fe0f061eda8aa4d39f5325e6e6c537,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,COMBO_LOCATION_EXFIL,IPC_BROADCAST_THEFT_KCCONNECTIVITYRECEIVER,IPC_CONFUSED_DEPUTY",train
2683e7a9ea8ce67e0ca9df27ab0401f24a4d5697449c9bfba81b343c66c4464d.apk,com.wilysis.cellinfolite,3.12.6,2683e7a9ea8ce67e0ca9df27ab0401f24a4d5697449c9bfba81b343c66c4464d,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=93; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_LOCATION_EXFIL,IPC_CONFUSED_DEPUTY",val
3c2e233e2c515ef3267a3f9bd71b5ce99fd801b2831c42b2fcc9d9d1e003af03.apk,com.bitmisrow.legobatman,3.0,3c2e233e2c515ef3267a3f9bd71b5ce99fd801b2831c42b2fcc9d9d1e003af03,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=90; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_LOCATION_EXFIL,IPC_CONFUSED_DEPUTY",train
41df7b4cba7b4ef73977e9e8375204396df42680d1746a822e3fd5470e23bb99.apk,net.marlove.mockgps,1.0.2.3,41df7b4cba7b4ef73977e9e8375204396df42680d1746a822e3fd5470e23bb99,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=93; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_LOCATION_EXFIL,IPC_CONFUSED_DEPUTY",train
494e61cf3923e7e9f7d47239e6eaf1a2bfe07b9ccd7760b6bb9413c6cc1b3307.apk,com.kauf.talking.baum.TalkingJoeOstrich,2.20.0,494e61cf3923e7e9f7d47239e6eaf1a2bfe07b9ccd7760b6bb9413c6cc1b3307,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_AUDIO_EXFIL,IPC_CONFUSED_DEPUTY",train
8ec51015e4bb1842cb2eb6da8fb437f47d97d8b979fdca32e5b9a0359ff91c37.apk,com.kgsinfoway.emojikeyboard,1.1,8ec51015e4bb1842cb2eb6da8fb437f47d97d8b979fdca32e5b9a0359ff91c37,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=83; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_SERVICE_HIJACK",train
9adce298e3725b01abc6d6d2d515f0d85006507e765906147f0c16bcf2de122c.apk,com.godpeople.GPtong,@7F06007C,9adce298e3725b01abc6d6d2d515f0d85006507e765906147f0c16bcf2de122c,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=98; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_SERVICE_HIJACK,IPC_BROADCAST_THEFT_BRECEIVERALARM,IPC_BROADCAST_THEFT_BRECEIVERCHEERUPALARM,IPC_CONFUSED_DEPUTY,IPC_PROVIDER_REDELEGATION",test
a60f9eb30948e96387a7c5a48d0a9ab231b42116737d3a16c166cd7e9f5ebb29.apk,air.nn.mobile.app.main,2.15.40,a60f9eb30948e96387a7c5a48d0a9ab231b42116737d3a16c166cd7e9f5ebb29,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=90; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_SERVICE_HIJACK,IPC_CONFUSED_DEPUTY",train
bfc1b29cabb26a832ae7536791deff25c8924b401498636d4bc20376e95717a7.apk,com.mediadjz.pianomixer,1.3,bfc1b29cabb26a832ae7536791deff25c8924b401498636d4bc20376e95717a7,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=92; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_AUDIO_EXFIL,IPC_CONFUSED_DEPUTY",test
c139920e36dd8f463c363f31c074b1176862a781a17be51e088e6bb2b027fb9d.apk,com.gamevilusa.dungeonlink.android.google.global.normal,1.12.11,c139920e36dd8f463c363f31c074b1176862a781a17be51e088e6bb2b027fb9d,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=95; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_DEVICESTATUSRECEIVER,IPC_CONFUSED_DEPUTY",train
c16b0e40c556bfd0dddfa9e3b3fa3f5692db55aa005c272557b12b0b3bd30ee6.apk,com.reneph.passwordsafe,4.4.1,c16b0e40c556bfd0dddfa9e3b3fa3f5692db55aa005c272557b12b0b3bd30ee6,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=73; risk_level=High; triggered=EXPORTED_UNPROTECTED_ACTIVITY,IPC_CONFUSED_DEPUTY",train
e8b15076709a2ec8159ac61269e55092482f6f58c60bda404f7e1a6e662615e8.apk,com.mindex.vbookz_pdf,1.1.3,e8b15076709a2ec8159ac61269e55092482f6f58c60bda404f7e1a6e662615e8,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=87; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,IPC_CONFUSED_DEPUTY",train
0435ad611600ff928af29b6df3d49717bd57dcae56d2a7a68bd3fa1963abed63.5a4b0bf6ce42d6928f62c272412d9d8d.apk,yhonvqb.qaolckwnvj,1.0,0435ad611600ff928af29b6df3d49717bd57dcae56d2a7a68bd3fa1963abed63,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,COMBO_LOCATION_EXFIL,IPC_BROADCAST_THEFT_VWOOSTI,IPC_CONFUSED_DEPUTY",val
1547b806f5f2a2f76db0900503b0a240d3a367b2067591899bcafddf716eb35a.11e9fbf897a1327b621fa103ebead210.apk,com.software.chrome,1.0,1547b806f5f2a2f76db0900503b0a240d3a367b2067591899bcafddf716eb35a,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=98; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,IPC_BROADCAST_THEFT_NOTIFICATOR,IPC_CONFUSED_DEPUTY",train
1716b4bf6d3740da3ce4991f62d669fe401b292d72f76e8c7b64660fdbdfc2ec.e866845fbbb9fdf941c2972da1b72478.apk,com.software.app,1.0,1716b4bf6d3740da3ce4991f62d669fe401b292d72f76e8c7b64660fdbdfc2ec,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=98; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,IPC_BROADCAST_THEFT_NOTIFIER,IPC_CONFUSED_DEPUTY",train
1b825312a360af320c9ce3992140e84fd9fc25b68b6c8c3987cc0027020038db.f4689de66672be6297f83e6f771f7b9f.apk,vbkoxh.cswnpr,1.0,1b825312a360af320c9ce3992140e84fd9fc25b68b6c8c3987cc0027020038db,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=100; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,COMBO_CONTACT_EXFIL,IPC_SERVICE_HIJACK,IPC_BROADCAST_THEFT_FCYNUDR,IPC_BROADCAST_THEFT_WKULJWSX,IPC_BROADCAST_THEFT_YAQXBTYOAN,IPC_CONFUSED_DEPUTY",train
2f702269d243578539dcb689528ed59ffaa8273b17f309b0b181afb16f6aca1f.25b5ac2fb01ecafb8f3a219d7d69c004.apk,jyiaivi.ohduxbbylb,<UNKNOWN>,2f702269d243578539dcb689528ed59ffaa8273b17f309b0b181afb16f6aca1f,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,OVER_PRIVILEGE,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_LGETIIN,IPC_CONFUSED_DEPUTY",train
3383038023b8bd2fce4c4a838769d5dd4ff4124bde3d0c7cfec00de3445be701.60b345d7d6133cf1755dac747328c8db.apk,yhonvqb.qaolckwnvj,1.0,3383038023b8bd2fce4c4a838769d5dd4ff4124bde3d0c7cfec00de3445be701,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,COMBO_LOCATION_EXFIL,IPC_BROADCAST_THEFT_VWOOSTI,IPC_CONFUSED_DEPUTY",train
3b59c1a24c8aa068a7e2dcef4cc538b215dc0cfc7505058244a822c68a293165.6de60a108144f986370644af12ef2f2a.apk,jtqsawchyv.qerbfsott,1.0,3b59c1a24c8aa068a7e2dcef4cc538b215dc0cfc7505058244a822c68a293165,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,OVER_PRIVILEGE,COMBO_CONTACT_EXFIL,IPC_BROADCAST_THEFT_BBCPPPIJXKP,IPC_CONFUSED_DEPUTY",train
9904fbad119b1e796798960fca90a9ea94532dcef727c1afba69e253d077108d.074eaff6e99b4178b14bd21c569e5195.apk,srcdsnms.jlimwd,1.0,9904fbad119b1e796798960fca90a9ea94532dcef727c1afba69e253d077108d,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=100; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_SMS_EXFIL,COMBO_CONTACT_EXFIL,IPC_SERVICE_HIJACK,IPC_BROADCAST_THEFT_LLWOPOLO,IPC_BROADCAST_THEFT_FPCVJOTGI,IPC_CONFUSED_DEPUTY",train
b72c7e66ecc1e6f0736b6079fe661d1318876b07befc8f85058d7653b0309a76.df3994460a862e5695fc8ff72e13a40d.apk,solgfsuu.bevamyufi,1.0,b72c7e66ecc1e6f0736b6079fe661d1318876b07befc8f85058d7653b0309a76,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_LOCATION_EXFIL,IPC_SERVICE_HIJACK,IPC_BROADCAST_THEFT_CNCRWM,IPC_BROADCAST_THEFT_JKVQVPCQLI,IPC_CONFUSED_DEPUTY",test
b9b2090af400f07e4737a544ba7cdc93390904dcc8b9785f0a4d91692b8d8c7c.9aea580256535cc05e696ab57881775d.apk,yhonvqb.qaolckwnvj,1.0,b9b2090af400f07e4737a544ba7cdc93390904dcc8b9785f0a4d91692b8d8c7c,real_world,maldroid2020,,,1,rule_weak_label,sms,"risk_score=99; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,EXPORTED_UNPROTECTED_RECEIVER,COMBO_CONTACT_EXFIL,COMBO_LOCATION_EXFIL,IPC_BROADCAST_THEFT_VWOOSTI,IPC_CONFUSED_DEPUTY",val
079c8e2e22da0fc2e6fb38d7add0b76c2013577305a7c51933abf17da80a942d.apk,com.saurabh.biology.psychologybook,1.0,079c8e2e22da0fc2e6fb38d7add0b76c2013577305a7c51933abf17da80a942d,real_world,maldroid2020,,,1,rule_weak_label,benign,"risk_score=94; risk_level=Critical; triggered=EXPORTED_UNPROTECTED_ACTIVITY,COMBO_LOCATION_EXFIL,IPC_CONFUSED_DEPUTY",train
710c74b43ab2e06e1626dc7451de0c4edb68a693e4d5877d9b73443926085578.apk,com.electromission.cable,1.1.1,710c74b43ab2e06e1626dc7451de0c4edb68a693e4d5877d9b73443926085578,real_world,maldroid2020,,,1,rule_weak_label,benign,risk_score=44; risk_level=Medium; triggered=EXPORTED_UNPROTECTED_ACTIVITY,val
afb5973323a924964d8933f4d0b753db16cb463b329586d25469720704a7a659.apk,com.redwindsoftware.oscarsguide,1.1.6,afb5973323a924964d8933f4d0b753db16cb463b329586d25469720704a7a659,real_world,maldroid2020,,,1,rule_weak_label,benign,risk_score=57; risk_level=Medium; triggered=EXPORTED_UNPROTECTED_ACTIVITY,train
